Se alguém lhe apresentar mais de um motivo pelo qual deseja o emprego, não o contrate.	Um motivo robusto tem apenas 1 item. Acima disso indica que os motivos não são tão verdadeiros.	A cama de Procusto	Taleb, Nassim Nicholas
Tiny battles like these are the ones that will define your future self.	Se propor a acordar 05:00 e acordar realmente as 05:00 faz de você, aos poucos, uma pessoa em que VOCÊ mesmo pode confiar, e isso aumenta sua AUTOESTIMA.	Atomic Habits	Clear, James
FORGET ABOUT GOALS, FOCUS ON SYSTEMS INSTEAD	Pense em sistemas, não em objetivos.	Atomic Habits	Clear, James
Goals are about the results you want to achieve. Systems are about the processes that lead to those results.	Não pode com os objetivos (goals) lide e aprenda a aperfeiçoar o sistema (system) que te leva ao objetivo e a muito mais.	Atomic Habits	Clear, James
If you’re a musician, your goal might be to play a new piece. Your system is how often you practice, how you break down and tackle difficult measures, and your method for receiving feedback from your instructor.	Objetivo é mais visível, mas são os sistemas que te levarão muito adiante do objetivo inicial. Modelo para reprodução:  - Meu objetivo é X, e meus sistemas são Y, Z e A.	Atomic Habits	Clear, James
Now for the interesting question: If you completely ignored your goals and focused only on your system, would you still succeed? For example, if you were a basketball coach and you ignored your goal to win a championship and focused only on what your team does at practice each day, would you still get results?	Se você ignorar seu objetivo, seus sistemas ainda te farão vitorioso? Foque em estabelecer quais são seus sistemas e os execute diariamente.	Atomic Habits	Clear, James
A handful of problems arise when you spend too much time thinking about your goals and not enough time designing your systems.	Tem um planejamento/objetivo de longo prazo? Desenhe os SISTEMAS para alcançar o objetivo, e não o que você precisa fazer.  Para tal objetivo, preciso ser uma pessoa x Para tal objetivo, preciso ser alguém que faz y .	Atomic Habits	Clear, James
Presumably, they had wanted to win the race every year before—just like every other professional team. The goal had always been there. It was only when they implemented a system of continuous small improvements that they achieved a different outcome.	O objetivo de vencer, todo mundo tem. Mas o que fazem apenas alguns vencerem? O foco deles estava na melhoria contínua e gradual de pequenos pontos de dificuldade. O foco estava no processo de evolução, e não no objetivo final.	Atomic Habits	Clear, James
When you solve problems at the results level, you only solve them temporarily. In order to improve for good, you need to solve problems at the systems level. Fix the inputs and the outputs will fix themselves.	“automatize” a fonte dos problemas e não terá que resolvê-los novamente	Atomic Habits	Clear, James
This is misguided. It is unlikely that your actual path through life will match the exact journey you had in mind when you set out. It makes no sense to restrict your satisfaction to one scenario when there are many paths to success.	O sucesso, a felicidade está no caminho que percorremos, e não no destino final. As vezes, o destino final que planejamos nem era o melhor. Aprenda a aproveitar o caminho e suas oportunidades.	Atomic Habits	Clear, James
The purpose of setting goals is to win the game. The purpose of building systems is to continue playing the game. True long-term thinking is goal-less thinking.	O propósito de estabelecer uma meta é vencer o jogo. O propósito de criar sistemas é continuar jogando o jogo.	Atomic Habits	Clear, James
You do not rise to the level of your goals. You fall to the level of your systems.	Os sistemas estão conectados ao subconsciente. Ele é o script do seu cérebro, mude ele e mudará seus hábitos, que te ajudarão a alcançar o objetivo	Atomic Habits	Clear, James
FIGURE 3: There are three layers of behavior change: a change in your outcomes, a change in your processes, or a change in your identity.	A mudança na identidade é por meio da reprogramação mental, com reafirmações repetidas e fé.  Feito isso, mudar os hábitos é quase automático.	Atomic Habits	Clear, James
True behavior change is identity change. You might start a habit because of motivation, but the only reason you’ll stick with one is that it becomes part of your identity.	Não empurre seus hábitos para a motivação, mude sua identidade e o hábito acompanhará	Atomic Habits	Clear, James
On any given day, you may struggle with your habits because you’re too busy or too tired or too overwhelmed or hundreds of other reasons. Over the long run, however, the real reason you fail to stick with habits is that your self-image gets in the way.	Seus hábitos tem que refletir quem você é. O caminho é difícil, por isso você precisa estar centrado em você para suportar a caminhada.	Atomic Habits	Clear, James
This is why you can’t get too attached to one version of your identity. Progress requires unlearning. Becoming the best version of yourself requires you to continuously edit your beliefs, and to upgrade and expand your identity.	O caminho do empreendedorismo/autodesenvolvimento requer DIÁRIO desaprendizado de quem você era para seu novo eu.    Humilde-se e permita errar.	Atomic Habits	Clear, James
When you write each day, you embody the identity of a creative person. When you train each day, you embody the identity of an athletic person.	Importância do hábito de escrever todo dia. Aos poucos, vou me tornando alguém mais criativo e com maior clareza mental	Atomic Habits	Clear, James
In this way, the process of building habits is actually the process of becoming yourself.	Foco em mudar quem você é, como você se imagina, em vez de pensar em hábitos apenas	Atomic Habits	Clear, James
Every action you take is a vote for the type of person you wish to become.	Hoje, 22/01/25, as 23:55, estou fazendo um mega esforço para manter meus hábitos de leitura e alemão e italiano. Isso é um voto poderoso para quem eu quero me tornar.	Atomic Habits	Clear, James
Habit formation is incredibly useful because the conscious mind is the bottleneck of the brain. It can only pay attention to one problem at a time.	"""Conscious mind"" é a mente consciênciente, ou mente de cima (livro Foco). Ela é o gargalo. Ela se esgota muito rápido, portanto precisamos aliviá-la de situações que não precisam dela sempre, como academia, rotinas. Para isso, criamos um ambiente para formação dos hábitos. São eles que irão aliviar a mente consciente para pensar em coisas que necessitem dela."	Atomic Habits	Clear, James
Many people think they lack motivation when what they really lack is clarity.	A fé é a construção do seu mundo íntimo.	Atomic Habits	Clear, James
We often say yes to little requests because we are not clear enough about what we need to be doing instead.	Se você não organizou seu dia, você diz sim para tudo, por que não sabe o que realmente tem que fazer.	Atomic Habits	Clear, James
Mood. When the phone rings, I will take one deep breath and smile before answering	Um ritual para lembrar sua consciência do hábito de sempre estar de bom humor.	Atomic Habits	Clear, James
People often choose products not because of what they are, but because of where they are.	O ambiente em que estamos situados diz muito sobre nossos hábitos, caso não tenhamos atingido alto grau de consciência sobre nós mesmos.	Atomic Habits	Clear, James
Environment is the invisible hand that shapes human behavior. Despite our unique personalities, certain behaviors tend to arise again and again under certain environmental conditions.	Não subestime o ambiente. No final das contas, é ele que te molda	Atomic Habits	Clear, James
If we choose water over soda, we assume it is because we wanted to do so. The truth, however, is that many of the actions we take each day are shaped not by purposeful drive and choice but by the most obvious option.	Molde, de modo consciente, seu ambiente. Vale para móveis, limpeza e para pessoas.	Atomic Habits	Clear, James
For this reason, a small change in what you see can lead to a big shift in what you do. As a result, you can imagine how important it is to live and work in environments that are filled with productive cues and devoid of unproductive ones.	Pequenos gatilhos de produtividade tornam todo o ambiente propicio a produtividade.	Atomic Habits	Clear, James
It’s easy not to practice the guitar when it’s tucked away in the closet.	Deixe os hábitos a mostra	Atomic Habits	Clear, James
For one person, her couch is the place where she reads for an hour each night. For someone else, the couch is where he watches television and eats a bowl of ice cream after work.	Você é quem define o uso dos ambientes / mobiliários. Não misture lugares de lazer com lugar de trabalho e estudo	Atomic Habits	Clear, James
The power of context also reveals an important strategy: habits can be easier to change in a new environment. It helps to escape the subtle triggers and cues that nudge you toward your current habits. Go to a new place—a different coffee shop, a bench in the park, a corner of your room you seldom use—and create a new routine there.	Mude sua rotina para conhecer melhor a si mesmo. Assim você escapa dos velhos gatilhos que ativam seus hábitos atuais.	Atomic Habits	Clear, James
Want to think more creatively? Move to a bigger room, a rooftop patio, or a building with expansive architecture. Take a break from the space where you do your daily work, which is also linked to your current thought patterns.	Se você não mudar o ambiente, continuará tendo os mesmos padrões de pensamento. Mude a posição da mesa, mude a iluminação, trabalhe de um lugar diferente.   Quer dedicar o máximo de energia a sua empresa? Não trabalhe de casa, trabalhe no escritório da empresa.	Atomic Habits	Clear, James
Create a separate space for work, study, exercise, entertainment, and cooking. The mantra I find useful is “One space, one use.”	Se está no trabalho, é local de trabalhar, se está no sofá, é lugar de descansar	Atomic Habits	Clear, James
When scientists analyze people who appear to have tremendous self-control, it turns out those individuals aren’t all that different from those who are struggling. Instead, “disciplined” people are better at structuring their lives in a way that does not require heroic willpower and self-control. In other words, they spend less time in tempting situations. The people with the best self-control are typically the ones who need to use it the least. It’s easier to practice self-restraint when you don’t have to use it very often. So, yes, perseverance, grit, and willpower are essential to success, but the way to improve these qualities is not by wishing you were a more disciplined person, but by creating a more disciplined environment.	Por fora parecem pessoas com absurdo autocontrole. De perto, são pessoas com hábitos fortalecidos, sem necessidade de usar a força de vontade.	Atomic Habits	Clear, James
And that means that simply resisting temptation is an ineffective strategy. It is hard to maintain a Zen attitude in a life filled with interruptions. It takes too much energy. In the short-run, you can choose to overpower temptation. In the long-run, we become a product of the environment that we live in. To put it bluntly, I have never seen someone consistently stick to positive habits in a negative environment.	Somos fruto do nosso ambiente, não importa o tamanho do seu autocontrole. Diminua as possibilidades	Atomic Habits	Clear, James
Humans are also prone to fall for exaggerated versions of reality. Junk food, for example, drives our reward systems into a frenzy. After spending hundreds of thousands of years hunting and foraging for food in the wild, the human brain has evolved to place a high value on salt, sugar, and fat. Such foods are often calorie-dense and they were quite rare when our ancient ancestors were roaming the savannah. When you don’t know where your next meal is coming from, eating as much as possible is an excellent strategy for survival.	Tendemos ao exagero devido nossa programação neural de caçadores e coletores.	Atomic Habits	Clear, James
If history serves as a guide, the opportunities of the future will be more attractive than those of today. The trend is for rewards to become more concentrated and stimuli to become more enticing. Junk food is a more concentrated form of calories than natural foods. Hard liquor is a more concentrated form of alcohol than beer. Video games are a more concentrated form of play than board games. Compared to nature, these pleasure-packed experiences are hard to resist. We have the brains of our ancestors but temptations they never had to face.	"""We have the brains of our ancestors but temptations they never had to face"""	Atomic Habits	Clear, James
One of the most effective things you can do to build better habits is to join a culture where your desired behavior is the normal behavior.	Ande com pessoas melhores que você.	Atomic Habits	Clear, James
I once heard a story about a man who uses a wheelchair. When asked if it was difficult being confined, he responded, “I’m not confined to my wheelchair—I am liberated by it. If it wasn’t for my wheelchair, I would be bed-bound and never able to leave my house.” This shift in perspective completely transformed how he lived each day.	Perspectiva e sentimento de gratidão sempre	Atomic Habits	Clear, James
Motion makes you feel like you’re getting things done. But really, you’re just preparing to get something done. When preparation becomes a form of procrastination, you need to change something. You don’t want to merely be planning. You want to be practicing. If you want to master a habit, the key is to start with repetition, not perfection. You don’t need to map out every feature of a new habit. You just need to practice it. This is the first takeaway of the 3rd Law: you just need to get your reps in.	Repetição, não perfeição.   Protocolo para partida em grandes projetos:    1) Acordar cedo 2) Leitura e journal 3) Água e café apenas, jejum 4) Tocar direto até 12:00	Atomic Habits	Clear, James
The difference between a good day and a bad day is often a few productive and healthy choices made at decisive moments. Each one is like a fork in the road, and these choices stack up throughout the day and can ultimately lead to very different outcomes.	Pode ser visto ai a importância dos pequenos hábitos, como tomar banho gelado ou arrumar a cama, ou escolher comer uma comida saudável, escolher ter responsabilidade sobre algo. Caso eu ache que esteja tendo um dia ruim, que eu lembre de algum momento em que tomei uma decisão que impactaria positivamente meu longo prazo!! Isso da motivação para dizer que não há dias ruins caso eu faça algo que vá contribuir para meu futuro!!	Atomic Habits	Clear, James
The Two-Minute Rule states, “When you start a new habit, it should take less than two minutes to do.”	"Mudança na visão do que é um hábito. O hábito não é ""academia"" o hábito é ""colocar a roupa e tênis de academia no carro"". É um hábito muito mais fácil e que eventualmente leva a academia."	Atomic Habits	Clear, James
Dyrsmid began each morning with two jars on his desk. One was filled with 120 paper clips. The other was empty. As soon as he settled in each day, he would make a sales call. Immediately after, he would move one paper clip from the full jar to the empty jar and the process would begin again. “Every morning I would start with 120 paper clips in one jar and I would keep dialing the phone until I had moved them all to the second jar,” he told me.	Interessante tornar o hábito visual, pegando objetos como referência de produtividade	Atomic Habits	Clear, James
Making progress is satisfying, and visual measures—like moving paper clips or hairpins or marbles—provide clear evidence of your progress. As a result, they reinforce your behavior and add a little bit of immediate satisfaction to any activity.	Usar medidores físicos para medir a evolução	Atomic Habits	Clear, James
“Don’t break the chain” is a powerful mantra.	"Mesmo que ""não deixar a peteca cair"". Faça de tudo para não perder um dia de um hábito. O exemplo da academia é o mais forte, um dia você terá tudo que precisa para faltar, mas são esses dias que farão a diferença no longo prazo. Mantenha a corrente."	Atomic Habits	Clear, James
As Charlie Munger says, “The first rule of compounding: Never interrupt it unnecessarily.” This is why the “bad” workouts are often the most important ones. Sluggish days and bad workouts maintain the compound gains you accrued from previous good days. Simply doing something—ten squats, five sprints, a push-up, anything really—is huge. Don’t put up a zero. Don’t let losses eat into your compounding.	Evite ao máximo perder um dia de um hábito. Faça 1% do planejado, mas não falte. Vá para a academia e faça 10 minutos de exercício, mas não falte	Atomic Habits	Clear, James
Furthermore, it’s not always about what happens during the workout. It’s about being the type of person who doesn’t miss workouts. It’s easy to train when you feel good, but it’s crucial to show up when you don’t feel like it—even if you do less than you hope. Going to the gym for five minutes may not improve your performance, but it reaffirms your identity.	Ir para a academia por 5 minutos não melhora muito sua performance, mas tem um gigantesco efeito na reafirmação de quem você é, e da sua auto estima	Atomic Habits	Clear, James
This pitfall is evident in many areas of life. We focus on working long hours instead of getting meaningful work done. We care more about getting ten thousand steps than we do about being healthy. We teach for standardized tests instead of emphasizing learning, curiosity, and critical thinking. In short, we optimize for what we measure. When we choose the wrong measurement, we get the wrong behavior.	“We optimize for what we measure”   Não meça trabalho pelas horas, mas sim pelo resultado e geração de valor.	Atomic Habits	Clear, James
Knowing that someone else is watching you can be a powerful motivator.	Lembrar que você tem um propósito na Terra e que milhares dependem do seu conjunto de esforços também	Atomic Habits	Clear, James
Variable rewards or not, no habit will stay interesting forever. At some point, everyone faces the same challenge on the journey of self-improvement: you have to fall in love with boredom.	Aprenda a amar o tédio, ele é seu melhor estímulo.	Atomic Habits	Clear, James
"Men are born soft and supple; dead, they are stiff and hard. Plants are born tender and pliant; dead, they are brittle and dry. Thus whoever is stiff and inflexible is a disciple of death. Whoever is soft and yielding is a disciple of life. The hard and stiff will be broken. The soft and supple will prevail. —LAO TZU"	“Portanto, quem é rígido e inflexível é um discípulo da morte”???????????????? Aprender a se adaptar a qualquer tipo de situação, ter margens. Saber conversar com qualquer pessoa, ter artifícios.	Atomic Habits	Clear, James
O vento apaga a vela e energiza o fogo. O mesmo vale para a aleatoriedade, a incerteza, o caos: você quer usá-los, não esconder-se deles. Você quer ser o fogo e almeja o vento. Isso sintetiza a atitude inquieta deste autor diante da aleatoriedade e da incerteza.	"""O vento apaga a vela e energiza o fogo""  ""Você quer ser o fogo e almeja o vento"""	Antifrágil	Taleb, Nassim Nicholas
Podemos lidar com sensibilidade aos danos resultantes da volatilidade, mais do que com a previsão do evento que poderia causar o dano. Assim, propomos que sejam viradas de cabeça para baixo nossas abordagens atuais de previsões, prognósticos e gerenciamento de riscos.	É mais fácil você se fortalecer contra o imprevisto do que tentar prever o evento que causaria o dano.	Antifrágil	Taleb, Nassim Nicholas
"toda e qualquer coisa que apresenta mais vantagens do que desvantagens a partir de eventos aleatórios (ou de certos impactos) é antifrágil; o inverso é frágil."	A sua vida é assim. É nas adversidades que crescemos. É nos tempos difíceis, incertos, quando temos certa dose de medo que evoluímos !! Busque aquela dose de pressão diária.	Antifrágil	Taleb, Nassim Nicholas
Por certo, se a antifragilidade é o atributo de todos os sistemas naturais (e complexos) que sobreviveram, privar esses sistemas de volatilidade, aleatoriedade e estressores os danificará.	Todos os sistemas naturais existentes são antifrágeis, foram moldados para resistirem as aleatoriedades da natureza. Não é saudável privar-nos deste mesmo meio que fortaleceu a natureza.	Antifrágil	Taleb, Nassim Nicholas
"Quem busca a ordem chega à pseudo-ordem; só obtém algum grau de ordem e controle quem aceita a aleatoriedade."	Assim como você não acha a felicidade buscando ela, você não acha a ordem buscando a ordem. É no caos que se encontra a ordem.	Antifrágil	Taleb, Nassim Nicholas
Leve em conta que a Mãe Natureza não é apenas “segura”. Ela é agressiva para destruir e substituir, selecionar e reorganizar. Quando se trata de eventos aleatórios, “robusto” com certeza não é bom o suficiente. A longo prazo, tudo que tem a mais ínfima vulnerabilidade se quebra, dada a implacável crueldade do tempo	Desenvolver uma mentalidade de gestão igual a da mãe natureza. Destruir e substituir, selecionar e reorganizar.	Antifrágil	Taleb, Nassim Nicholas
É possível assegurar com tranquilidade que sua avó é mais frágil do que você a mudanças repentinas de temperatura, que uma ditadura militar é mais frágil do que a Suíça se houver alguma mudança política, que um banco é mais frágil do que outro na hipótese de surgir uma nova crise, ou que um edifício moderno precariamente construído é mais frágil do que a Catedral de Chartres na eventualidade de um terremoto.	Fragilidade e antifragilidade são termos relativos	Antifrágil	Taleb, Nassim Nicholas
Assim, graças ao fragilista, a cultura moderna vem desenvolvendo, cada vez mais, uma cegueira diante do misterioso, do impenetrável, do que Nietzsche chamou de dionisíaco, na vida.	Quando o fragilista elimina o caos, ele em vez de criar segurança, cria cegueira e vulnerabilidade	Antifrágil	Taleb, Nassim Nicholas
"Há o fragilista médico, que intervém com veemência para negar a capacidade natural do corpo de se curar, e receita medicamentos com efeitos colaterais potencialmente muito graves; o fragilista político (o planejador social intervencionista), que confunde a economia com uma máquina de lavar roupa que precisa de consertos constantes (feitos por ele mesmo) e a explode de vez; o fragilista psiquiátrico, que medica crianças para “melhorar” a vida intelectual e emocional delas;"	Fragilista é quem evita a antifragilidade de algo se manifestar, intervindo sem necessidade para mostrar serviço ou por que a sociedade quer que seja assim.	Antifrágil	Taleb, Nassim Nicholas
Heurísticas são regras básicas e gerais simplificadas que tornam as coisas simples e fáceis de implementar. Mas sua principal vantagem é que o usuário sabe que elas não são perfeitas, apenas adequadas, e assim ele se sente menos enganado pelos poderes que elas exercem. Quando nos esquecemos disso, elas se tornam perigosas.	Pequena definição sobre heurística	Antifrágil	Taleb, Nassim Nicholas
Se você quer se tornar antifrágil, coloque-se na situação de “adora erros” — à direita de “odeia erros” —, tornando os erros numerosos e pequenos em relação ao dano potencial. Vamos chamar esse processo e enfoque de estratégia barbell.	Adorar vários pequenas dificuldades administráveis te torna cada vez mais resistente. Aprenda a gostar de erros!	Antifrágil	Taleb, Nassim Nicholas
"O acréscimo está à esquerda; a eliminação, à direita. Eliminar a medicação ou algum outro estressor antinatural — por exemplo, glúten, frutose, tranquilizantes, esmalte de unhas ou alguma substância similar — por tentativa e erro é mais robusto do que acrescentar medicamentos, com efeitos colaterais desconhecidos, apesar das afirmações sobre “evidências” e evidências fajutas."	Retirar, renovar, refazer é antifrágil. Adicionar, proteger é fragil. Tornar as coisas mais simples, reduzir etapas é fortalecer!!	Antifrágil	Taleb, Nassim Nicholas
A sofisticação, certa variedade dela, também traz fragilidade para os Cisnes Negros: à medida que as sociedades ganham em complexidade, com uma sofisticação mais abundante e mais “vanguardista” e especialização cada vez maior, elas se tornam mais e mais vulneráveis ao colapso. Essa ideia foi esboçada de maneira brilhante — e convincente — pelo arqueólogo Joseph Tainter.	A sofisticação e complexidade trazem fragilidade a uma estrutura.  Ensinamento para empresa: esteja sempre simplificando todas as áreas e processos.	Antifrágil	Taleb, Nassim Nicholas
Muitos, como o grande estadista romano Catão, o Censor, viam o conforto, em quase todas as suas formas, como um caminho para o desperdício.1 Ele não gostava quando as coisas eram fáceis demais, pois se preocupava com o enfraquecimento da vontade.	O ser humano evoluiu pela busca ao conforto, não pelo conforto em si.   A liberdade vem de se desligar das coisas externas, especialmente dos prazeres fáceis	Antifrágil	Taleb, Nassim Nicholas
Catão teria ficado feliz se soubesse do efeito recentemente observado na aeronáutica de que a automação dos aviões está causando nos pilotos a sensação de que conduzir aeronaves é um desafio aquém de suas habilidades, o que faz com que voar seja confortável demais para eles — perigosamente confortável. O embotamento da atenção e das habilidades dos pilotos em decorrência do nível de desafio baixo demais está, de fato, causando mortes por acidentes aéreos.	Mais tecnologia, mais conforto, estagnação.	Antifrágil	Taleb, Nassim Nicholas
Dizem que os melhores cavalos perdem quando competem com os mais lentos e vencem contra rivais melhores. A subcompensação pela ausência de um estressor, a hormese reversa, a ausência de desafios, degrada os melhores dos melhores. No poema de Baudelaire, “as asas gigantes do albatroz impedem-no de andar”	A ausência de desafios degrada os melhores	Antifrágil	Taleb, Nassim Nicholas
A maioria dos seres humanos consegue desperdiçar seu tempo livre, pois o tempo livre os torna disfuncionais, preguiçosos e desmotivados — quanto mais ocupados ficam, mais ativos são em outras tarefas. Sobrecompensação, mais uma vez.	Quanto menos tempo livre você tem, mais você aprende a aproveitá-lo com eficácia.   Se a pessoa não tem um propósito definido e não confia em si mesmo, muito tempo livre só vai atrapalhá-la	Antifrágil	Taleb, Nassim Nicholas
O mesmo mecanismo de sobrecompensação, ou um similar, faz com que nos concentremos melhor na presença de uma módica quantidade de ruído aleatório ao fundo, como se o ato de resistir a esse ruído nos ajudasse a aprimorar nosso foco mental.	Um lugar 100% favorável ao estudo não te propicia aquele pequeno ruído necessário para se sentir pressionado e, portanto, performar melhor no estudo.	Antifrágil	Taleb, Nassim Nicholas
Se a antifragilidade é o que desperta e reage com exagero e sobrecompensa diante de estressores e de danos, então uma das coisas mais antifrágeis que encontraremos fora da vida econômica é certo tipo de amor refratário (ou ódio), que parece reagir de forma desmedida e sobrecompensar diante de impedimentos como a distância, incompatibilidades familiares e todas as tentativas conscientes de matá-lo.	O amor é antifrágil, se fortalece com as dificuldades.	Antifrágil	Taleb, Nassim Nicholas
As grandes corporações e os governos parecem não entender esse poder de repercussão das informações e sua capacidade de controlar os que tentam controlá-la. Quando se ouve uma empresa ou um governo endividado tentando “restabelecer a confiança”, sabemos que eles são frágeis e, portanto, condenados. A informação é impiedosa: apenas uma coletiva de imprensa “para tranquilizar” e os investidores vão fugir em debandada, provocando um fim inevitável ou uma corrida aos bancos. Isso explica por que tenho uma postura obsessiva contra o endividamento do governo, como ferrenho defensor do que se chama de conservadorismo fiscal. Quando você não tem dívidas, não precisa preocupar-se com a reputação nos círculos econômicos — e, de alguma forma, é apenas quando você não se preocupa com sua reputação que tende a ter uma boa reputação.	Quando você não tem dívidas, não precisa preocupar-se com a reputação nos círculos econômicos, e é quando não precisa se preocupar em ter uma reputação é que você tende a ter boa reputação.   Não tenha dívidas, seja financeira ou moral com ninguém.	Antifrágil	Taleb, Nassim Nicholas
E estamos cegos diante dessa antifragilidade de informações em muitos outros domínios. Se eu espancar fisicamente um rival em um ambiente ancestral, eu o machucarei, o enfraquecerei, e talvez o elimine para sempre. Porém, se eu encenar uma enxurrada de ataques de informação em sites, jornais e revistas, posso estar apenas ajudando-o e me prejudicando.	Informação hoje em dia é antifrágil. Bombardear as pessoas sobre algo, mesmo de modo negativo, fortalece ela.	Antifrágil	Taleb, Nassim Nicholas
Então, termino esta seção com uma ideia. É absolutamente desconcertante que as pessoas que mais nos propiciaram benefícios não sejam as que tentaram nos ajudar (por exemplo, com “conselhos”), mas sim aquelas que ativamente tentaram nos prejudicar — embora no fim das contas tenham fracassado.	Quem mais te gerou dificuldades é quem mais te ajudou a evoluir, caso você estivesse aberto a essa modificação.	Antifrágil	Taleb, Nassim Nicholas
nosso corpo obtém informações sobre o meio ambiente não através de nosso aparato lógico, inteligência e capacidade de raciocinar, computar e calcular, mas por meio do estresse, via hormônios ou outros mensageiros que ainda não descobrimos	Ao estudar algo, você aprende pela via lógica, pela capacidade de raciocínio. Ao realmente se expor à prática, você aprende por meio do estresse, via hormônios, muito mais catalisador do ensinamento.	Antifrágil	Taleb, Nassim Nicholas
"Além disso, os erros e suas consequências são informação; para crianças pequenas, a dor é a única informação de gerenciamento de risco, uma vez que suas faculdades lógicas não estão muito desenvolvidas."	A dor é mais eficaz que as faculdades lógicas no gerenciamento de risco.   Errei muito antes de simplesmente começar a ter ideias para minha empresa.	Antifrágil	Taleb, Nassim Nicholas
Por exemplo, sofrer um terrível choque ao ver uma cobra saindo do teclado do meu computador ou um vampiro entrando no meu quarto, seguido de um período de reconfortante segurança (com chá de camomila e música barroca) longo o suficiente para que eu consiga recuperar o controle de minhas emoções, seria benéfico para minha saúde, contanto que, é claro, eu seja capaz de derrotar a cobra ou o vampiro após uma luta intensa e, espera-se, heroica, e tirar uma foto ao lado do predador morto. Esse tipo de estressor seria, certamente, melhor do que o estresse moderado mas contínuo de um chefe, de uma hipoteca, de problemas fiscais, da culpa por adiar a entrega da declaração de imposto de renda, da pressão das provas, dos afazeres domésticos, dos e-mails a responder, dos formulários a preencher, dos deslocamentos diários de casa para o trabalho — coisas que fazem a pessoa se sentir presa na própria vida.	Estratégia Barbell. Melhor sofrer uma alta dose de estresse, seguida de convalescença, do que um estresse mediano, mas contínuo.	Antifrágil	Taleb, Nassim Nicholas
Para se ter uma ideia do quanto pode ser danoso um estressor de baixo impacto, sem tempo de recuperação, pense no que é conhecido como a tortura da gota chinesa: uma gota de água batendo ininterruptamente no mesmo ponto da cabeça, sem nunca permitir que a pessoa se recupere.	Estressor de baixo impacto, sem tempo de recuperação: Tortura da gota chinesa. Um pequeno estresse por causa de barulho com o vizinho de cima na hora de dormir, todo dia, é muito mais prejudicial que uma noite inteira sem dormir devido uma emergência médica.	Antifrágil	Taleb, Nassim Nicholas
2. Para o não orgânico, o não complexo, por exemplo, um objeto sobre a mesa, o equilíbrio (conforme é tradicionalmente definido) acontece em um estado de inércia. Assim, para algo orgânico, o equilíbrio (nesse sentido) só acontece com a morte.	Tudo que é orgânico só terá equilíbrio quando morto.	Antifrágil	Taleb, Nassim Nicholas
A fragilidade de toda startup é necessária para que a economia seja antifrágil, e isso, entre outras coisas, é o que faz o empreendedorismo funcionar: a fragilidade dos empreendedores individuais e sua taxa necessariamente elevada de fracasso.	Se as empresas não quebrassem, significaria que o mercado não está as colocando a prova e portanto, todas as empresas seriam frágeis.	Antifrágil	Taleb, Nassim Nicholas
modificações entre as sucessivas gerações, a natureza não precisa prever as condições futuras para além da ideia, extremamente vaga, de qual é a direção para onde as coisas deverão caminhar. Na verdade, nem mesmo uma direção incerta é necessária. Todo evento aleatório trará seu próprio antídoto, na forma de variação ecológica. É como se a natureza se modificasse a cada passo e alterasse sua estratégia a cada instante.	"""Todo evento aleatório trará seu próprio antídoto"" A natureza não precisa prever as condições futuras para se proteger.   A capacidade de se adaptar é não precisar prever as condições futuras para se proteger."	Antifrágil	Taleb, Nassim Nicholas
Ademais, o elemento aleatório de tentativa e erro não é de todo aleatório se for realizado de forma racional, utilizando o erro como fonte de informação. Se cada tentativa fornecer a você informações sobre o que não funciona, você começa a pôr em foco uma solução — assim, cada tentativa torna-se mais valiosa, mais como uma despesa do que como um erro. E, é claro, você fará descobertas ao longo do caminho.	A aleatoriedade se torna um processo racional de desenvolvimento quando usamos a informação gerada pelo erro.	Antifrágil	Taleb, Nassim Nicholas
Se cada acidente aéreo reduz a probabilidade de que ocorra outra queda de avião, cada colapso bancário aumenta a probabilidade de uma nova crise financeira.	Aviação é um ótimo exemplo de antifrágil. Passa 90% do tempo em tranquilidade, porém quando os 10% de caos e tensão emergem, surgem novas regras e a deixam mais forte. (Barbell)	Antifrágil	Taleb, Nassim Nicholas
Como no triste poema de Baudelaire sobre o albatroz, aquilo que é feito para voar não se dá muito bem preso ao chão, onde é forçado a vagar a esmo. E é bastante apropriado que “volatilidade” venha de volare, “voar” em latim. Privar de volatilidade os sistemas políticos (e outros sistemas) os prejudica,	Tudo que tem volatilidade deve se manter volátil. Privar é eliminar seus próprios mecanismos de correção. O mercado é volátil. Nossa vida é volátil. Não fuja da volatilidade, reconheça ela.	Antifrágil	Taleb, Nassim Nicholas
Um aglomerado de municípios com charmosas inimizades provinciais, seus próprios conflitos internos e pessoas dispostas a brigar agrega-se para formar um Estado bastante inofensivo e estável. A Suíça é semelhante à renda do segundo irmão, estável por causa das variações e do ruído no nível local. Assim como a renda do taxista mostra uma instabilidade diária, mas uma estabilidade anual, a Suíça evidencia estabilidade no nível agregado, já que o conjunto de cantões produz um sistema sólido.	A suiça, com suas pequenas rivalidades entre cantões, é um estado antifrágil. Mesma coisa com a renda do taxista, que tem instabilidade diária, mas uma estabilidade anual.	Antifrágil	Taleb, Nassim Nicholas
